"country","region","population","density","lifeexp","fertility","education","military","gdpcapita","unemployment","inequality","inflation","debt","carbon","polrights","corruption"
"Finland","Europe",5262930,15.56,79.41,1.73,5.9,2,36000,7.8,26.8,3.3,49.2,10.34,1,90
"France","Europe",65630692,101.94,81.46,2.08,5.6,2.6,35100,9.2,32.7,2.3,86.1,6.02,1,71
"Gabon","Africa",1608321,6.01,52.29,4.56,4.6,0.9,16300,21,39,1.3,22.2,2.86,6,35
"Gambia,_The","Africa",1840454,162.94,63.82,4.1,2,0.9,1900,30,50.2,4.8,13.9,0.16,6,34
"Georgia","Europe",4570934,65.58,77.32,1.46,3.2,1.9,5500,16.3,40.8,8.5,38.6,1.16,4,52
"Germany","Europe",81305856,227.73,80.19,1.41,4.5,1.5,38100,6,27,2.5,80.6,9.76,1,79
"Ghana","Africa",24652402,103.35,61.45,4.15,5.4,1.7,3100,11,39.4,8.7,38.2,0.43,1,45
"Greece","Europe",10767827,81.6,80.05,1.39,4,4.3,26300,17.4,33,3.3,165.3,8.64,2,36
"Grenada","Caribbean",109011,316.89,73.3,2.15,4.9,0.5,13800,25,45.3,3,200,3.94,1,58
"Guatemala","Central_America",14099032,129.48,71.17,3.18,3.2,0.4,5100,4.1,55.1,6.2,29.8,0.92,3,33
"Guinea","Africa",10884958,44.27,58.61,5.04,2.4,1.1,1100,21,39.4,21.4,34.9,0.13,5,24
"Guinea-Bissau","Africa",1628603,45.08,49.11,4.44,4.3,3.1,1100,18.7,47.5,5,80.8,0.28,4,25
"Guyana","South_America",741908,3.45,67.39,2.27,6.1,1.8,7600,11,44.6,2.6,62.1,2.05,2,28
"Haiti","Caribbean",9801664,353.21,62.51,2.98,2.8,0.4,1200,40.6,59.2,8.4,38.8,0.15,4,19
"Honduras","Central_America",8296693,74.02,70.71,3.01,8.4,0.6,4400,4.9,57.7,6.8,32.9,1,4,28
"Hungary","Europe",9958453,107.05,75.02,1.41,5.2,1.75,19600,10.9,24.7,3.9,80.8,5.06,1,55
"Iceland","Europe",313183,3.04,81,1.89,7.4,0,38100,7.4,28,4,128.6,10.72,1,82
"India","Asia",1205073612,366.59,67.14,2.58,3.1,2.5,3700,9.8,36.8,8.9,50.5,1.41,2,36
"Indonesia","Asia",248645008,130.55,71.62,2.23,2.8,3,4700,6.6,36.8,5.4,24.1,1.57,2,32
"Iran","Middle_East",78868711,47.85,70.35,1.87,4.7,2.5,13200,15.3,44.5,20.6,18.2,7.1,6,28
"Iraq","Middle_East",31129225,71.02,70.85,3.58,3.5,8.6,4200,15,36.8,5.6,219.7,3.8,5,18
"Ireland","Europe",4722028,67.2,80.32,2.01,4.9,0.9,40800,14.4,33.9,2.6,108.2,8.57,1,69
"Israel","Middle_East",7590758,365.47,81.07,2.67,5.9,7.3,31500,5.6,39.2,3.5,72.6,9.26,1,60
"Italy","Europe",61261254,203.3,81.86,1.4,4.3,1.8,30500,8.4,32,2.9,120.1,6.8,1,42
"Jamaica","Caribbean",2889187,262.87,73.43,2.12,5.8,0.6,8900,14.1,45.5,7.5,127.6,3.19,2,38
"Japan","Asia",127368088,337.03,83.91,1.39,3.5,0.8,34700,4.6,37.6,-0.3,205.5,9.14,1,74
"Jordan","Middle_East",6508887,72.85,80.18,3.36,3.9,8.6,5900,12.3,39.7,4.4,35.4,2.93,6,48
"Kazakhstan","Asia",17522010,6.43,69.63,2.41,2.8,1.1,13000,5.4,26.7,8.3,12.6,10.53,6,28
"Kenya","Africa",43013341,74.11,63.07,3.98,7,2.8,1700,40,42.5,14,50.7,0.28,4,27
"Kiribati","Oceania",101998,125.77,64.76,2.71,4.3,0.9,5700,2,51.9,0.2,52.4,0.43,1,25
"Korea,_North","Asia",24589122,203.99,69.2,2.01,2.4,2.5,1800,1,36.8,18.7,50.9,2.59,7,8
"Korea,_South","Asia",48860500,489.98,79.3,1.23,4.2,2.7,31200,3.4,31,4,33.6,11.85,1,56
"Kosovo","Europe",1836529,168.69,72.77,1.31,4.3,0.7,6500,45.3,30,8.3,5.6,0.75,5,34
"Kuwait","Middle_East",2646314,148.52,77.28,2.6,3.8,5.3,41700,2.2,45,4.7,7.5,30.73,4,44
"Kyrgyzstan","Asia",5496737,27.49,69.45,2.73,5.9,0.5,2400,8.6,33.4,16.6,49.1,0.75,5,24
"Laos","Asia",6586266,27.81,62.77,3.06,2.3,0.5,2800,2.5,36.7,7.6,49.1,0.18,7,21
"Latvia","Europe",2191580,33.93,72.93,1.33,5,1.1,16800,12.8,35.2,4.4,43.7,4.14,2,49
"Lebanon","Middle_East",4140289,398.1,75.23,1.76,1.8,3.1,15500,5.2,40.8,5.1,134,3.68,5,30
"Lesotho","Africa",1930493,63.6,51.86,2.89,12.4,2.6,1900,45,63.2,5,38.2,0.15,3,45
"Liberia","Africa",3887886,34.91,57.41,5.02,2.7,1.3,600,85,47.5,7.4,3.3,0.19,3,41
"Libya","Africa",5613380,3.19,77.83,2.12,2.8,3.9,6000,30,50.8,15.9,4.3,10.8,7,21
"Liechtenstein","Europe",36713,229.46,81.5,1.69,2,0.7,89400,2.8,32,0.3,17.4,7.6,1,51
"Lithuania","Europe",3525761,53.99,75.55,1.27,4.7,0.9,19100,15.4,35.5,4.1,36.8,4.53,1,54
"Luxembourg","Europe",509074,196.86,79.75,1.77,6.8,0.9,80600,5.7,26,3.4,17.4,21.21,1,80
"Macedonia","Africa",2082370,80.99,75.36,1.59,2.9,6,10500,31.4,44.2,3.9,28.7,3.95,3,43
"Madagascar","Africa",22005222,37.48,64,4.45,3,1,900,21,47.5,9.5,44.7,0.15,6,32
"Malawi","Africa",16323044,137.77,52.31,5.35,4.2,1.3,900,14,39,7.6,32.4,0.08,3,37
"Malaysia","Asia",29179952,88.47,74.04,2.64,4.1,2.03,16200,3.1,46.2,3.2,51.8,6.23,4,49
"Maldives","Asia",394451,1323.66,74.69,1.79,11.2,5.5,8600,14.5,63,6,41.2,2.33,3,62
"Mali","Africa",15494466,12.49,53.06,6.35,4.4,1.9,1100,30,40.1,2.9,24.1,0.06,2,34
"Malta","Europe",409836,1296.95,79.85,1.53,6.4,0.7,25600,6.4,26,2.7,71.9,7.6,1,57
"Marshall_Islands","Oceania",68480,378.34,72.03,3.37,12,2.6,2500,36,33.4,12.9,200,1.93,1,72
"Mauritania","Africa",3359185,3.26,61.53,4.22,4.4,5.5,2000,30,39,7.5,62.1,0.86,6,31
"Mauritius","Africa",1313095,643.67,74.71,1.78,3.2,0.3,15000,7.9,39,6.5,57.1,3.46,1,57
"Mexico","North_America",114975406,58.53,76.66,2.27,4.8,0.5,14700,5.2,51.7,3.4,35.4,3.87,3,34
"Micronesia,_Federated_States_of","Oceania",106487,151.69,71.8,2.68,2,5.5,2200,22,44.2,3.4,77.5,2.35,1,48
"Moldova","Europe",3656843,108.03,69.51,1.55,9.6,0.4,3400,6.7,38,7.6,18.6,2.02,3,36
"Monaco","Europe",30510,15255,89.68,1.51,1.2,0.8,4800,0,44.2,1.5,50.9,5.19,2,71
